Bank,Id,Total Assets,Total Deposits,Number of Employees,Net Income,Total Liabilities,Total Equity Capital,Derivatives,Return on Assets,Return on Equity
First Midwest Bank of Dexter,1611,"$503,404,000","$448,063,000",94,"$1,473,000","$457,132,000","$46,272,000","$410,000",1%,13%
Bank of Frankewing,1612,"$503,286,000","$457,499,000",100,"$1,204,000","$459,600,000","$43,686,000",$0,1%,11%
Bank of the Valley,1613,"$502,799,000","$452,469,000",88,"$623,000","$462,217,000","$40,582,000",$0,1%,6%
First Nations Bank,1614,"$502,114,000","$407,443,000",38,"$1,638,000","$442,613,000","$59,501,000",$0,1%,11%
Denali State Bank,1615,"$502,011,000","$423,091,000",80,"$2,397,000","$454,255,000","$47,756,000",$0,2%,21%
"Profinium, Inc.",1616,"$501,918,000","$422,879,000",74,"$824,000","$462,420,000","$39,498,000","$541,000",1%,9%
Homestead Bank,1617,"$501,754,000","$383,494,000",81,"$1,824,000","$432,174,000","$69,580,000",$0,1%,11%
DR Bank,1618,"$501,573,000","$399,625,000",50,"$-110,000","$456,558,000","$45,015,000",$0,0%,-1%
Dominion Bank,1619,"$501,239,000","$440,049,000",46,"$1,655,000","$448,138,000","$53,101,000",$0,1%,13%
The Karnes County National Bank of Karnes City,1620,"$501,218,000","$463,570,000",38,"$1,894,000","$465,468,000","$35,750,000",$0,2%,23%
FSNB,1621,"$500,480,000","$412,871,000",666,"$3,524,000","$436,783,000","$63,697,000",$0,3%,23%
Stockmens Bank,1622,"$499,936,000","$434,875,000",105,"$1,904,000","$450,994,000","$48,942,000",$0,2%,16%
Sterling State Bank,1623,"$499,139,000","$359,313,000",63,"$361,000","$480,160,000","$18,979,000","$244,000",0%,9%
BankVista,1624,"$498,832,000","$393,118,000",73,"$1,134,000","$448,065,000","$50,767,000","$1,476,000",1%,9%
Milford Federal Bank,1625,"$498,179,000","$385,934,000",66,"$448,000","$444,103,000","$54,076,000",$0,0%,3%
Ambler Savings Bank,1626,"$498,020,000","$428,575,000",56,"$966,000","$445,436,000","$52,584,000",$0,1%,8%
American Commerce Bank,1627,"$497,627,000","$416,933,000",56,"$1,696,000","$437,173,000","$60,454,000",$0,1%,11%
Eaglemark Savings Bank,1628,"$497,437,000","$371,969,000",97,"$4,906,000","$417,107,000","$80,330,000",$0,4%,25%
The First National Bank of Livingston,1629,"$496,855,000","$443,597,000",97,"$1,284,000","$457,915,000","$38,940,000",$0,1%,14%
Iowa Trust & Savings Bank,1630,"$496,636,000","$356,562,000",38,"$1,243,000","$445,066,000","$51,570,000","$50,000,000",1%,10%
Chickasaw Community Bank,1631,"$496,438,000","$453,694,000",100,"$-1,229,000","$458,608,000","$37,830,000","$36,973,000",-1%,-14%
Rayne State Bank & Trust Company,1632,"$495,935,000","$443,496,000",73,"$2,359,000","$448,455,000","$47,480,000",$0,2%,21%
Salem Co-operative Bank,1633,"$495,672,000","$388,458,000",63,"$-251,000","$429,164,000","$66,508,000","$20,000,000",0%,-2%
Intracoastal Bank,1634,"$495,345,000","$463,011,000",46,"$2,239,000","$468,376,000","$26,969,000",$0,2%,35%
Farmers and Merchants Bank of South Carolina,1635,"$494,783,000","$457,837,000",70,"$2,461,000","$459,000,000","$35,783,000",$0,2%,29%
FLAGLER BANK,1636,"$494,594,000","$384,610,000",43,"$1,996,000","$450,934,000","$43,660,000",$0,2%,19%
Labette Bank,1637,"$493,616,000","$428,435,000",99,"$872,000","$446,777,000","$46,839,000",$0,1%,8%
Thread Bank,1638,"$493,067,000","$436,444,000",49,"$-635,000","$450,009,000","$43,058,000","$45,000,000",-1%,-8%
Jefferson Security Bank,1639,"$492,898,000","$416,675,000",72,"$885,000","$469,117,000","$23,781,000",$0,1%,15%
Phelps County Bank,1640,"$492,396,000","$441,720,000",94,"$2,096,000","$463,241,000","$29,155,000","$559,000",2%,30%
Hearthside Bank Corporation,1641,"$492,381,000","$430,656,000",98,"$785,000","$447,717,000","$44,664,000",$0,1%,7%
Frontier State Bank,1642,"$491,890,000","$416,692,000",41,"$2,466,000","$427,390,000","$64,500,000",$0,2%,16%
Riverstone Bank,1643,"$491,716,000","$419,256,000",81,"$1,394,000","$444,759,000","$46,957,000",$0,1%,12%
INSOUTH Bank,1644,"$490,883,000","$449,691,000",102,"$1,312,000","$454,195,000","$36,688,000",$0,1%,15%
Citizens Community Bank,1645,"$490,603,000","$398,141,000",46,"$1,437,000","$446,881,000","$43,722,000","$15,200,000",2%,18%
The FNB Community Bank,1646,"$489,724,000","$434,927,000",85,"$1,024,000","$451,640,000","$38,084,000",$0,1%,11%
Grandview Bank,1647,"$489,493,000","$441,843,000",59,"$2,024,000","$452,031,000","$37,462,000",$0,2%,22%
Lumbee Guaranty Bank,1648,"$489,483,000","$440,725,000",96,"$1,555,000","$450,291,000","$39,192,000",$0,1%,17%
Four Corners Community Bank,1649,"$487,053,000","$413,700,000",81,"$2,148,000","$444,428,000","$42,625,000","$23,590,000",2%,20%
Merchants Commercial Bank,1650,"$487,026,000","$412,774,000",36,"$3,083,000","$477,054,000","$9,972,000",$0,2%,223%
Portage Community Bank,1651,"$485,623,000","$427,231,000",78,"$937,000","$444,389,000","$41,234,000",$0,1%,9%
Farmers Bank of Northern Missouri,1652,"$485,540,000","$413,164,000",86,"$1,562,000","$440,767,000","$44,773,000",$0,1%,15%
Triad Business Bank,1653,"$484,930,000","$428,894,000",56,"$-2,425,000","$447,030,000","$37,900,000","$14,039,000",-2%,-25%
AVB Bank,1654,"$484,135,000","$431,756,000",81,"$966,000","$445,706,000","$38,429,000",$0,1%,10%
Worthington Bank,1655,"$484,002,000","$436,038,000",63,"$1,275,000","$439,744,000","$44,258,000",$0,1%,12%
Lone Star Capital Bank,1656,"$482,932,000","$425,864,000",79,"$484,000","$441,159,000","$41,773,000",$0,0%,5%
Bank of Holly Springs,1657,"$482,865,000","$385,457,000",84,"$1,526,000","$414,083,000","$68,782,000",$0,1%,9%
Surrey Bank & Trust,1658,"$481,776,000","$414,600,000",63,$0,"$420,662,000","$61,114,000",$0,0%,0%
Citizens Bank of Kansas,1659,"$481,443,000","$450,347,000",96,"$915,000","$461,055,000","$20,388,000","$3,677,000",1%,20%
Citizens National Bank of Cheboygan,1660,"$480,526,000","$473,305,000",80,"$692,000","$479,062,000","$1,464,000",$0,1%,182%
Dream First Bank,1661,"$480,246,000","$430,594,000",69,"$2,034,000","$433,335,000","$46,911,000",$0,2%,18%
Highpoint Community Bank,1662,"$479,680,000","$431,368,000",88,"$888,000","$446,250,000","$33,430,000",$0,1%,11%
Gibsland Bank & Trust Company,1663,"$479,672,000","$425,550,000",94,"$1,630,000","$426,950,000","$52,722,000",$0,1%,13%
CBBC Bank,1664,"$479,310,000","$417,103,000",75,"$1,336,000","$435,288,000","$44,022,000","$670,000",1%,13%
Fifth District Savings Bank,1665,"$478,823,000","$397,485,000",64,"$377,000","$401,850,000","$76,973,000",$0,0%,2%
Connection Bank,1666,"$478,458,000","$395,640,000",64,"$1,501,000","$432,887,000","$45,571,000",$0,1%,13%
Time Bank,1667,"$478,303,000","$374,386,000",29,"$3,104,000","$413,319,000","$64,984,000",$0,3%,19%
Golden Valley Bank,1668,"$475,795,000","$439,187,000",65,"$1,071,000","$442,155,000","$33,640,000",$0,1%,13%
Pan American Bank & Trust,1669,"$475,459,000","$435,879,000",56,"$1,420,000","$439,857,000","$35,602,000","$20,827,000",1%,16%
Cattlemens Bank,1670,"$475,191,000","$377,124,000",65,"$1,080,000","$433,877,000","$41,314,000",$0,1%,10%
Platinum Bank,1671,"$474,899,000","$398,387,000",66,"$1,999,000","$433,614,000","$41,285,000",$0,2%,20%
Regal Bank,1672,"$473,587,000","$401,995,000",65,"$2,170,000","$413,400,000","$60,187,000",$0,2%,15%
First Independent Bank,1673,"$473,041,000","$423,046,000",72,"$1,660,000","$434,754,000","$38,287,000",$0,1%,18%
Herring Bank,1674,"$472,736,000","$417,973,000",153,"$2,231,000","$422,104,000","$50,632,000","$2,418,000",2%,18%
1st State Bank,1675,"$472,591,000","$424,287,000",71,"$1,343,000","$433,670,000","$38,921,000","$5,343,000",1%,14%
"Sterling Federal Bank, F.S.B.",1676,"$472,564,000","$403,270,000",100,"$-20,000","$440,524,000","$32,040,000",$0,0%,0%
Equitable Bank,1677,"$472,074,000","$415,289,000",85,"$912,000","$427,852,000","$44,222,000","$3,442,000",1%,8%
Sunstate Bank,1678,"$472,054,000","$384,291,000",63,"$775,000","$412,314,000","$59,740,000",$0,1%,5%
"Titan Bank, N.A.",1679,"$471,795,000","$432,083,000",32,"$3,560,000","$434,083,000","$37,712,000",$0,3%,38%
Community Bank Mankato,1680,"$471,631,000","$411,354,000",62,"$953,000","$432,809,000","$38,822,000",$0,1%,10%
First Robinson Savings Bank,1681,"$471,391,000","$370,931,000",79,"$519,000","$444,999,000","$26,392,000","$329,000",0%,8%
The Callaway Bank,1682,"$470,870,000","$388,516,000",53,"$479,000","$433,256,000","$37,614,000",$0,0%,5%
Sunrise Bank,1683,"$469,766,000","$412,275,000",54,"$1,486,000","$431,394,000","$38,372,000",$0,1%,16%
The Citizens State Bank,1684,"$469,571,000","$415,897,000",91,"$2,127,000","$428,524,000","$41,047,000","$2,000",2%,30%
"Black Hills Community Bank, N.A.",1685,"$469,064,000","$402,479,000",60,"$1,518,000","$424,765,000","$44,299,000",$0,1%,13%
Mega Bank,1686,"$468,986,000","$397,974,000",55,"$1,578,000","$412,428,000","$56,558,000",$0,1%,11%
Hoyne Savings Bank,1687,"$468,567,000","$392,226,000",81,"$55,000","$393,847,000","$74,720,000",$0,0%,0%
TrustBank,1688,"$468,199,000","$395,176,000",87,"$1,627,000","$421,298,000","$46,901,000",$0,1%,15%
Powell Valley National Bank,1689,"$467,876,000","$423,188,000",86,"$1,083,000","$426,088,000","$41,788,000",$0,1%,11%
Louisiana National Bank,1690,"$467,492,000","$405,334,000",85,"$1,825,000","$428,822,000","$38,670,000",$0,2%,19%
The Bank,1691,"$466,923,000","$438,008,000",89,"$2,573,000","$439,223,000","$47,391,000",$0,2%,24%
Enterprise Bank of South Carolina,1692,"$466,844,000","$456,017,000",98,"$1,534,000","$457,121,000","$9,723,000",$0,1%,71%
Century Bank and Trust,1693,"$466,524,000","$413,702,000",99,"$1,658,000","$420,889,000","$45,635,000","$1,145,000",1%,20%
Column,1694,"$466,223,000","$410,043,000",65,"$44,000","$427,628,000","$38,595,000",$0,0%,0%
Fulton Savings Bank,1695,"$465,491,000","$316,469,000",71,"$1,384,000","$358,574,000","$106,917,000","$15,000,000",1%,5%
Premier Community Bank,1696,"$465,479,000","$426,792,000",93,"$952,000","$434,405,000","$31,074,000",$0,1%,13%
Germantown Trust & Savings Bank,1697,"$464,582,000","$388,355,000",45,"$1,747,000","$431,257,000","$33,325,000",$0,2%,22%
The Brenham National Bank,1698,"$464,565,000","$428,316,000",58,"$1,147,000","$430,705,000","$33,860,000",$0,1%,14%
Merchants & Farmers Bank & Trust Company,1699,"$464,218,000","$414,458,000",79,"$648,000","$425,543,000","$38,675,000","$5,000,000",1%,7%
Community State Bank of Orbisonia,1700,"$464,161,000","$406,279,000",108,"$692,000","$428,750,000","$35,411,000",$0,1%,8%
Outdoor Bank,1701,"$464,057,000","$391,851,000",81,"$1,243,000","$408,107,000","$55,950,000",$0,1%,9%
Cottonport Bank,1702,"$463,237,000","$409,059,000",135,"$1,622,000","$410,254,000","$52,983,000",$0,1%,12%
"United Community Bank of West Kentucky, Inc.",1703,"$463,205,000","$385,274,000",61,"$1,691,000","$422,615,000","$40,590,000",$0,1%,17%
Farmers-Merchants Bank & Trust Company,1704,"$462,703,000","$356,473,000",83,"$2,020,000","$421,547,000","$41,156,000",$0,2%,21%
Bank of Kirksville,1705,"$462,349,000","$402,683,000",55,"$1,597,000","$413,254,000","$49,095,000",$0,1%,14%
Champlain National Bank,1706,"$462,331,000","$424,045,000",73,"$1,013,000","$435,363,000","$26,968,000",$0,1%,16%
Mound City Bank,1707,"$462,078,000","$393,321,000",73,"$1,087,000","$411,194,000","$50,884,000","$2,230,000",1%,9%
Eagle Bank and Trust Company,1708,"$461,721,000","$401,065,000",179,"$487,000","$403,883,000","$57,838,000","$3,636,000",0%,3%
Grinnell State Bank,1709,"$461,641,000","$361,750,000",44,"$587,000","$426,796,000","$34,845,000",$0,1%,7%
United Midwest Savings Bank,1710,"$460,717,000","$394,771,000",160,"$1,989,000","$405,580,000","$55,137,000",$0,2%,15%
RVR Bank,1711,"$460,358,000","$411,666,000",78,"$1,944,000","$414,117,000","$46,241,000","$2,430,000",2%,17%
The Clinton National Bank,1712,"$460,282,000","$413,357,000",87,"$205,000","$429,290,000","$30,992,000","$176,000",0%,3%
Asian Bank,1713,"$460,033,000","$329,291,000",35,"$1,419,000","$355,172,000","$104,861,000",$0,1%,5%
The Neffs National Bank,1714,"$459,973,000","$371,761,000",51,"$848,000","$391,946,000","$68,027,000",$0,1%,5%
NSB Bank,1715,"$459,144,000","$417,186,000",51,"$1,861,000","$427,482,000","$31,662,000","$630,000",2%,25%
First Farmers & Merchants Bank,1716,"$458,598,000","$399,551,000",53,"$1,492,000","$431,498,000","$27,100,000","$2,885,000",1%,23%
Wallkill Valley Federal Savings and Loan Association,1717,"$458,186,000","$385,546,000",76,"$350,000","$418,007,000","$40,179,000",$0,0%,4%
"Allied First Bank,sb",1718,"$458,058,000","$386,563,000",240,"$2,325,000","$387,752,000","$70,306,000","$19,392,000",2%,14%
Florida Capital Bank,1719,"$457,959,000","$368,936,000",134,"$935,000","$393,150,000","$64,809,000","$55,505,000",1%,6%
Alva State Bank & Trust Company,1720,"$457,539,000","$379,118,000",53,"$2,215,000","$403,673,000","$53,866,000",$0,2%,17%
"Eclipse Bank, Inc.",1721,"$456,537,000","$332,347,000",52,"$343,000","$414,484,000","$42,053,000",$0,0%,3%
United Mississippi Bank,1722,"$455,949,000","$394,383,000",107,"$1,194,000","$407,637,000","$48,312,000",$0,1%,10%
UNICO Bank,1723,"$455,666,000","$419,388,000",136,"$549,000","$420,948,000","$34,718,000",$0,0%,6%
Select Bank,1724,"$455,381,000","$421,916,000",52,"$985,000","$423,774,000","$31,607,000",$0,1%,13%
Solutions Bank,1725,"$455,272,000","$418,339,000",67,"$1,211,000","$431,846,000","$23,426,000",$0,1%,21%
"Hancock County Savings Bank, F.S.B.",1726,"$455,179,000","$355,664,000",77,"$1,112,000","$374,488,000","$80,691,000",$0,1%,5%
Robertson Banking Company,1727,"$455,079,000","$412,766,000",77,"$1,941,000","$419,497,000","$35,582,000",$0,2%,23%
"TrustTexas Bank, SSB",1728,"$454,944,000","$357,195,000",74,"$-178,000","$446,958,000","$7,986,000",$0,0%,-8%
The Bank of Advance,1729,"$454,487,000","$394,076,000",83,"$2,756,000","$403,164,000","$51,323,000",$0,2%,23%
Seamen's Bank,1730,"$454,138,000","$406,950,000",68,"$312,000","$407,364,000","$46,774,000",$0,0%,3%
KEB Hana Bank USA,1731,"$453,902,000","$336,865,000",48,"$1,450,000","$356,659,000","$97,243,000",$0,1%,6%
United Savings Bank,1732,"$451,614,000","$341,014,000",39,"$1,056,000","$380,369,000","$71,245,000",$0,1%,6%
"Trinity Bank, N.A.",1733,"$450,967,000","$403,174,000",25,"$1,938,000","$406,110,000","$44,857,000",$0,2%,18%
Bank of England,1734,"$450,689,000","$312,388,000",934,"$-2,270,000","$374,124,000","$76,565,000","$406,156,000",-2%,-12%
Northern State Bank of Thief River Falls,1735,"$450,683,000","$412,750,000",49,"$2,760,000","$413,395,000","$37,288,000",$0,2%,30%
State Bank of Chilton,1736,"$449,946,000","$395,569,000",50,"$2,030,000","$403,855,000","$46,091,000",$0,2%,18%
American National Bank of Minnesota,1737,"$448,314,000","$342,041,000",74,"$1,021,000","$408,266,000","$40,048,000","$1,632,000",1%,11%
The City National Bank of Metropolis,1738,"$447,904,000","$367,972,000",50,"$811,000","$408,879,000","$39,025,000",$0,1%,9%
NBT Financial Bank,1739,"$447,538,000","$402,531,000",64,"$992,000","$404,794,000","$42,744,000",$0,1%,9%
"The City National Bank and Trust Company of Lawton, Oklahoma",1740,"$447,334,000","$377,323,000",338,"$2,103,000","$398,655,000","$48,679,000",$0,2%,18%
TriStar Bank,1741,"$447,127,000","$409,097,000",88,"$722,000","$414,127,000","$33,000,000","$1,183,000",1%,9%
Peoples Independent Bank,1742,"$447,090,000","$387,827,000",84,"$1,465,000","$419,347,000","$27,743,000",$0,1%,22%
"Goldwater Bank, N.A.",1743,"$447,020,000","$294,288,000",213,"$970,000","$395,933,000","$51,087,000","$43,218,000",1%,8%
Bank & Trust Company,1744,"$446,934,000","$383,158,000",82,"$1,026,000","$407,709,000","$39,225,000",$0,1%,11%
Delta National Bank and Trust Company,1745,"$446,528,000","$365,391,000",53,"$1,127,000","$393,468,000","$53,060,000",$0,1%,9%
Magnolia State Bank,1746,"$445,632,000","$401,097,000",86,"$1,291,000","$403,276,000","$42,356,000",$0,2%,19%
The Peoples State Bank,1747,"$445,443,000","$391,271,000",97,"$675,000","$411,078,000","$34,365,000","$8,304,000",3%,10%
The First National Bank in Creston,1748,"$445,332,000","$371,894,000",71,"$671,000","$413,322,000","$32,010,000",$0,1%,9%
"Peoples Bank of Kentucky, Inc.",1749,"$445,213,000","$375,609,000",93,"$1,510,000","$399,327,000","$45,886,000",$0,1%,13%
The Citizens Bank of Clovis,1750,"$444,670,000","$370,818,000",53,"$2,614,000","$417,898,000","$26,772,000",$0,2%,39%
Bank3,1751,"$444,513,000","$403,478,000",53,"$363,000","$405,750,000","$38,763,000","$21,786,000",0%,4%
Dean Co-operative Bank,1752,"$444,389,000","$398,558,000",70,"$333,000","$417,282,000","$27,107,000","$719,000",0%,5%
First State Bank and Trust,1753,"$444,190,000","$402,491,000",96,"$1,719,000","$411,307,000","$32,883,000",$0,2%,35%
Oak Bank,1754,"$443,873,000","$373,548,000",35,"$1,488,000","$402,920,000","$40,953,000",$0,1%,15%
Farmers & Merchants Bank of Colby,1755,"$443,693,000","$334,734,000",39,"$1,262,000","$390,209,000","$53,484,000",$0,1%,10%
First National Bank Minnesota,1756,"$443,690,000","$384,400,000",63,"$1,300,000","$408,609,000","$35,081,000",$0,1%,15%
Eaton Community Bank,1757,"$443,192,000","$346,081,000",88,"$599,000","$391,989,000","$51,203,000","$33,648,000",1%,5%
First National Bank in Olney,1758,"$442,399,000","$395,972,000",69,"$1,192,000","$404,120,000","$38,279,000","$330,000",1%,13%
State Bank Financial,1759,"$442,378,000","$367,843,000",57,"$1,452,000","$409,493,000","$32,885,000","$141,980,000",1%,19%
Better Banks,1760,"$441,653,000","$417,191,000",82,"$874,000","$418,957,000","$22,696,000",$0,1%,16%
Wayne County Bank,1761,"$441,191,000","$382,349,000",85,"$1,318,000","$387,659,000","$53,532,000",$0,1%,10%
The Murray Bank,1762,"$441,185,000","$408,940,000",69,"$1,304,000","$412,550,000","$28,635,000",$0,1%,19%
Bank of Belleville,1763,"$441,000,000","$345,678,000",65,"$295,000","$413,186,000","$27,814,000",$0,0%,4%
Arundel Federal Savings Bank,1764,"$440,779,000","$355,416,000",69,"$292,000","$378,656,000","$62,123,000",$0,0%,2%
Carroll Bank and Trust,1765,"$440,740,000","$398,925,000",92,"$868,000","$407,580,000","$33,160,000",$0,1%,11%
Merchants and Manufacturers Bank,1766,"$439,462,000","$347,973,000",52,"$1,822,000","$402,996,000","$36,466,000",$0,2%,20%
Town & Country Bank and Trust Company,1767,"$439,313,000","$366,813,000",86,"$1,180,000","$400,911,000","$38,402,000",$0,1%,13%
"Chino Commercial Bank, N.A.",1768,"$438,911,000","$324,872,000",56,"$1,324,000","$398,758,000","$40,153,000",$0,1%,13%
First Port City Bank,1769,"$438,849,000","$396,109,000",78,"$924,000","$398,378,000","$40,471,000",$0,1%,9%
Home Federal Savings and Loan Association of Grand Island,1770,"$437,372,000","$392,747,000",71,"$971,000","$399,193,000","$38,179,000","$4,128,000",1%,11%
FinWise Bank,1771,"$437,188,000","$321,867,000",151,"$5,118,000","$332,007,000","$105,181,000",$0,5%,20%
First Federal Savings Bank of Lincolnton,1772,"$436,492,000","$364,230,000",47,"$1,163,000","$366,980,000","$69,512,000",$0,1%,7%
Enterprise Bank,1773,"$436,312,000","$350,607,000",63,"$1,115,000","$385,256,000","$51,056,000","$7,202,000",1%,9%
The Bank of New Glarus,1774,"$435,889,000","$378,233,000",73,"$1,109,000","$400,221,000","$35,668,000",$0,1%,13%
MCBank,1775,"$435,765,000","$405,835,000",80,"$2,188,000","$407,597,000","$28,168,000",$0,2%,35%
FreedomBank,1776,"$434,811,000","$370,591,000",62,"$1,927,000","$395,250,000","$39,561,000",$0,2%,20%
One American Bank,1777,"$434,333,000","$341,685,000",60,"$467,000","$398,215,000","$36,118,000","$108,731,000",0%,5%
American Eagle Bank,1778,"$433,962,000","$345,637,000",27,"$742,000","$397,317,000","$36,645,000",$0,1%,8%
Rolling Hills Bank & Trust,1779,"$433,603,000","$375,484,000",62,"$1,759,000","$385,676,000","$47,927,000",$0,2%,15%
The Hometown Savings Bank,1780,"$433,340,000","$371,562,000",104,"$389,000","$414,201,000","$19,139,000",$0,0%,9%
"Shamrock Bank, N.A.",1781,"$433,068,000","$403,270,000",80,"$1,191,000","$406,063,000","$27,005,000",$0,1%,19%
State Bank of De Kalb,1782,"$433,027,000","$374,259,000",90,"$2,213,000","$388,405,000","$44,622,000",$0,2%,20%
Texas Republic Bank,1783,"$432,795,000","$304,240,000",68,"$1,931,000","$381,930,000","$50,865,000",$0,2%,15%
Belmont Savings Bank,1784,"$432,287,000","$330,477,000",59,"$681,000","$375,004,000","$57,283,000",$0,1%,5%
Raccoon Valley Bank,1785,"$432,160,000","$392,011,000",50,"$1,256,000","$397,298,000","$34,862,000","$1,071,000",1%,15%
"Magnolia Bank, Incorporated",1786,"$431,456,000","$383,047,000",243,"$-152,000","$389,889,000","$41,567,000","$263,848,000",0%,-1%
Chelsea State Bank,1787,"$431,245,000","$391,601,000",55,"$2,169,000","$394,331,000","$36,914,000",$0,2%,25%
Astra Bank,1788,"$430,551,000","$393,391,000",72,"$7,269,000","$423,085,000","$7,466,000",$0,7%,"1,332%"
The Bank of Tescott,1789,"$429,812,000","$367,548,000",59,"$1,686,000","$375,299,000","$54,513,000",$0,2%,13%
TC FEDERAL BANK,1790,"$429,597,000","$354,622,000",60,"$374,000","$365,465,000","$64,132,000",$0,0%,2%
Alden State Bank,1791,"$429,540,000","$373,235,000",67,"$1,212,000","$374,965,000","$54,575,000",$0,2%,17%
CHARTER WEST BANK,1792,"$429,447,000","$381,855,000",136,"$430,000","$393,501,000","$35,946,000","$50,227,000",0%,5%
Farmers and Merchants Union Bank,1793,"$428,600,000","$356,035,000",49,"$1,915,000","$371,815,000","$56,785,000",$0,2%,14%
South Story Bank & Trust,1794,"$428,557,000","$341,771,000",62,"$187,000","$367,407,000","$61,150,000",$0,0%,1%
Hamlin Bank and Trust Company,1795,"$428,501,000","$343,217,000",84,"$-2,434,000","$346,288,000","$82,213,000",$0,-2%,-12%
LifeStore Bank,1796,"$428,447,000","$360,807,000",78,"$1,066,000","$384,962,000","$43,485,000","$534,000",1%,10%
Northeast Security Bank,1797,"$427,617,000","$368,149,000",50,"$1,205,000","$386,723,000","$40,894,000",$0,1%,12%
"Midwest Heritage Bank, FSB",1798,"$427,444,000","$354,719,000",146,"$1,659,000","$381,292,000","$46,152,000","$517,000",2%,15%
High Country Bank,1799,"$426,918,000","$379,619,000",82,"$1,202,000","$387,091,000","$39,827,000",$0,1%,12%
Bankers' Bank of the West,1800,"$426,694,000","$230,545,000",54,"$811,000","$374,065,000","$52,629,000",$0,1%,6%
Northview Bank,1801,"$426,362,000","$379,621,000",105,"$745,000","$388,111,000","$38,251,000","$905,000",1%,8%
First Northeast Bank of Nebraska,1802,"$425,384,000","$347,041,000",45,"$1,722,000","$380,879,000","$44,505,000",$0,2%,16%
The Denison State Bank,1803,"$424,608,000","$343,880,000",70,"$1,645,000","$372,934,000","$51,674,000",$0,2%,13%
Citizens Bank of Americus,1804,"$424,579,000","$386,235,000",44,"$1,481,000","$394,279,000","$30,300,000",$0,1%,20%
New Era Bank,1805,"$423,395,000","$376,587,000",72,"$1,950,000","$378,011,000","$45,384,000","$125,000",2%,18%
Bank of the Flint Hills,1806,"$423,115,000","$349,598,000",71,"$1,204,000","$391,832,000","$31,283,000","$1,638,000",1%,16%
Home Bank SB,1807,"$422,849,000","$352,828,000",74,"$558,000","$391,785,000","$31,064,000",$0,1%,8%
The Napoleon State Bank,1808,"$422,078,000","$378,946,000",80,"$1,362,000","$381,235,000","$40,843,000",$0,1%,14%
Mechanics & Farmers Bank,1809,"$421,830,000","$361,129,000",80,"$1,614,000","$366,772,000","$55,058,000",$0,2%,12%
West Town Bank & Trust,1810,"$421,625,000","$359,649,000",62,"$1,767,000","$374,852,000","$46,773,000","$12,122,000",2%,15%
First Citizens State Bank,1811,"$421,060,000","$316,457,000",68,"$1,425,000","$347,489,000","$73,571,000","$2,634,000",1%,8%
The Victory Bank,1812,"$420,491,000","$371,160,000",55,"$855,000","$381,754,000","$38,737,000",$0,1%,9%
First National Bank of Coffee County,1813,"$420,210,000","$381,624,000",59,"$1,440,000","$385,292,000","$34,918,000",$0,1%,16%
Sunmark Community Bank,1814,"$419,850,000","$376,288,000",72,"$2,194,000","$380,714,000","$39,136,000",$0,2%,23%
Brunswick Bank and Trust Company,1815,"$419,438,000","$286,301,000",44,"$519,000","$374,822,000","$44,616,000",$0,1%,5%
TruBank,1816,"$418,995,000","$327,134,000",51,"$980,000","$383,136,000","$35,859,000",$0,1%,11%
OPTUS Bank,1817,"$418,728,000","$340,133,000",47,"$1,644,000","$353,799,000","$64,929,000",$0,2%,10%
Southwest Capital Bank,1818,"$418,723,000","$376,239,000",87,"$2,924,000","$383,115,000","$35,608,000",$0,3%,34%
The First National Bank of Jeanerette,1819,"$417,963,000","$380,288,000",76,"$1,837,000","$381,915,000","$36,048,000",$0,2%,21%
"Mineola Community Bank, S.S.B.",1820,"$417,823,000","$310,596,000",61,"$-948,000","$376,000,000","$41,823,000",$0,-1%,-9%
"River City Bank, Inc.",1821,"$417,657,000","$360,199,000",67,"$372,000","$377,095,000","$40,562,000",$0,0%,4%
Nebraska Bank,1822,"$417,358,000","$360,574,000",54,"$1,003,000","$381,318,000","$36,040,000",$0,1%,11%
"First Community Bank of the Heartland, Inc.",1823,"$417,067,000","$367,947,000",107,"$1,032,000","$386,780,000","$30,287,000",$0,1%,14%
Texas Champion Bank,1824,"$416,935,000","$300,908,000",90,"$798,000","$376,020,000","$40,915,000",$0,1%,8%
Casey State Bank,1825,"$416,890,000","$375,796,000",70,"$1,822,000","$377,256,000","$39,634,000",$0,2%,19%
West Point Bank,1826,"$416,629,000","$338,040,000",50,"$373,000","$387,819,000","$28,810,000",$0,0%,5%
First Vision Bank of Tennessee,1827,"$416,547,000","$345,418,000",72,"$1,585,000","$378,160,000","$38,387,000","$2,673,000",2%,17%
Cullman Savings Bank,1828,"$415,999,000","$299,707,000",59,"$1,066,000","$342,865,000","$73,134,000",$0,1%,6%
North Shore Bank of Commerce,1829,"$415,908,000","$350,734,000",132,"$702,000","$377,740,000","$38,168,000","$17,176,000",1%,7%
BlueHarbor Bank,1830,"$415,594,000","$365,112,000",35,"$2,092,000","$370,338,000","$45,256,000","$910,000",2%,19%
"Winter Hill Bank, FSB",1831,"$415,536,000","$354,953,000",55,"$141,000","$375,789,000","$39,747,000",$0,0%,1%
Farmers Savings Bank,1832,"$415,442,000","$373,141,000",51,"$1,331,000","$378,610,000","$36,832,000","$2,990,000",1%,15%
JONES BANK,1833,"$415,048,000","$360,731,000",59,"$1,324,000","$394,803,000","$20,245,000",$0,1%,27%
